Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6505-CF-002-8123,ASA 81MG CHEW TABS,2,BT,WHSE,9.5,19,C,
6505-CF-002-8505,"GEL, GLUCOSE, DIETARY, 15G OF d-GLUCOSE, FRUIT PUNCH FLAVOUR",4,TU,WHSE,2.97,11.88,C,
6505-CF-002-8629,"LIDOCAINE HCL 2%, 20MG/ML, INJECTION, PREFILLED SYRINGE WITH SAFETY NEEDLE",3,EA,WHSE,38.12,114.36,C,
6505-CF-002-8648,"ATROPINE SULFATE PREFILL SYRINGE 1MG, 10ML",6,EA,WHSE,37.64,225.84,D,
6505-CF-002-9861,ADENOSINE INJECTION 3MG/ML 4ML PRE-FILL SYRINGE,5,EA,WHSE,125.11,625.55,D,
6505-CF-005-0253,"GLUCAGON, DRY POWDER, NASAL, 3MG PER SINGLE-USE DEVICE",4,EA,WHSE,160.22,640.88,C,
6505-CF-005-0503,"FENTANYL CITRATE, 800 MCG, COMPRESSED LOZENGE, CYNRIL",10,EA,WHSE,49.88,498.8,C,
6505-CF-005-0634,"EPINEPHRINE, 0.1MG/ML, ADULT, 10ML PREFILL SYRINGE, WITHOUT NEEDLE",10,EA,WHSE,38.06,380.6,C,
6510-00-786-3736,PAD ISOPROPYL ALCOHOL,5,BX,WHSE,2.07,10.35,C,
6510-01-344-1119,TAPE WHITE 2.5CM X 9.0M,35,RO,WHSE,1.06,37.1,C,
6510-01-558-3342,DRSSNG MODULAR 4IN NLTX,53,EA,WHSE,11.76,623.28,C,
6510-01-558-3443,DRSSNG MODULAR 6IN(15CM) NLTX,300,EA,WHSE,13.44,4032,C,
6510-01-562-3325,GAUZE HEMOSTATIC 7.5CM,40,EA,WHSE,56.33,2253.2,C,
6510-01-621-1129,"DRESSING, CHEST WOUND SEAL, NON-VALVED",2,PG,WHSE,36.59,73.18,C,
6510-01-658-7745,CHEST SEAL W/VALVE 2.0 NO PAD OR CAP,13,EA,WHSE,31.82,413.66,C,
6510-21-893-3536,BANDAGE (FILM) 6 X 7.5CM,2,BX,WHSE,23.46,46.92,C,
6510-21-907-7261,SPONGE ( 8-P)5 X 5CM,25,PG,WHSE,0.04,1,C,
6510-CF-001-9420,TAPE HEAVY DUTY (COTTON),1,SL,WHSE,50.78,50.78,C,
6510-CF-001-9836,PAD CHLORHEXIDINE 0.5%,1,BX,WHSE,14.24,14.24,C,
6510-CF-002-6931,TAPE WHITE 1/2IN X 10YDS(1.25CM X 9.1M),1,RO,WHSE,0.54,0.54,C,
6515-00-332-3300,FORCEPS TRACH TUBE 24CM,1,EA,WHSE,28.08,28.08,D,
6515-00-334-4900,FORCEP HEMO HALST CV,12,EA,WHSE,19.24,230.88,D,
6515-00-364-0920,"SCISSORS GENERAL 6 3/4""(17.1CM)L",3,EA,WHSE,13.38,40.14,D,
6515-00-386-7600,CANNULA LARYNGEAL GOMCO,2,EA,WHSE,137.01,274.02,C,
6515-01-137-9203,TUBE TRACH 8.0MM CUFFED,2,EA,WHSE,2.64,5.28,C,
6515-01-162-1956,"SUTURE, POLYPROPYLENE, MONOFILAMENT, NON-ABSORBABLE, SIZE 1, 48MM TAPER POINT 1/2 CIRCLE NEEDLE, THREAD LENGTH 30IN",1,BX,WHSE,248.92,248.92,C,
6515-01-227-4935,TUBE TRACH 7.0MM CUFFED,2,EA,WHSE,2.58,5.16,C,
6515-01-257-6384,TUBE TRACH 6.5MM CUFFED,2,EA,WHSE,2.59,5.18,C,
6515-01-261-5877,TUBE TRACH 6.0MM CUFFED,2,EA,WHSE,2.59,5.18,C,
6515-01-269-1792,AIRWAY NASOPHARYNG 28FR,12,EA,WHSE,9.12,109.44,C,
6515-01-322-5881,"ADMINISTRATION SET, IV SECONDARY 15GTT, 40INL, SPIN LOCK W/HANGER, 50'S",1,EA,WHSE,1.26,1.26,C,
6515-01-356-8511,SYR HYPO PLS 10-12CC,100,EA,WHSE,0.21,21,C,
6515-01-357-5932,SYR HYPO PLS/DBL-SC 6CC,100,EA,WHSE,0.19,19,C,
6515-01-358-4886,ELECTRODE ECG 200 SERIES,1,PG,WHSE,19.78,19.78,C,
6515-01-375-4798,CONNECTOR SALINE LOCK,10,EA,WHSE,2.15,21.5,C,
6515-01-390-9627,"CATHETER, I.V., SAFETY VERSION, 14G X 1.25IN",6,EA,WHSE,2.36,14.16,C,
6515-01-390-9654,"CATHETER, I.V., SAFETY VERSION, 18G X 1.25IN",100,EA,WHSE,1.8,180,C,
6515-01-452-4435,SUPP CERV COLLAR SELECT,16,EA,WHSE,17.15,274.4,C,
6515-01-521-7976,"TOURNIQUET, COMBAT APPLICATION, HEMORRHAGE CONTROL, C-A-T, BLACK",3,EA,WHSE,32.98,98.94,C,
6515-01-618-7475,"TOURNIQUET, JUNCTIONAL, SAM",2,EA,WHSE,447.78,895.56,C,
6515-01-618-8278,"PACK, AIRWAY SUPRAGLOTTIC, ADULT, SIZE 4 COMES WITH LUBRICANT AND AIRWAY SUPPORT STRAP",3,EA,WHSE,35,105,C,
6515-01-621-2401,"PACK, AIRWAY SUPRAGLOTTIC, ADULT, SIZE 5 COMES WITH LUBRICANT AND AIRWAY SUPPORT STRAP",3,EA,WHSE,35,105,C,
6515-01-649-5343,TOURNIQUET LATEX FREE,25,EA,WHSE,0.29,7.25,C,
6515-01-661-3370,STETHOSCOPE CARDIOLOGY,3,EA,WHSE,86.75,260.25,D,
6515-01-673-1021,"CATHETER, I.V., SAFETY VERSION, 16G X 1.25IN",15,EA,WHSE,1.8,27,C,
6515-01-676-8354,"ADMINISTRATION SET, INFUSION PUMP, 120IN LONG,15 DROPS/ML.",1,EA,WHSE,6.65,6.65,C,
6515-01-676-8390,"ADMINISTRATION SET, Y TYPE BLOOD PUMP CARESITE INJ, 24'S",1,EA,WHSE,9.45,9.45,C,
6515-01-681-6750,"VALVE,SURGICAL DRAIN",6,SE,WHSE,107.7,646.2,C,
6515-01-685-4875,"CLIPPER, SURGICAL, CORDLESS",1,EA,WHSE,94,94,D,
6515-01-685-4887,"BLADE, SURGICAL CLIPPER",2,EA,WHSE,2.18,4.36,C,
6515-01-690-1463,SPACE PUMP IV SET WITH ANTI-SIPHON VALVE,1,EA,WHSE,6.21,6.21,D,
6515-01-693-0950,"SYRINGE, IRRIGATING, TOOMEY, 60ML",2,EA,WHSE,1.54,3.08,C,
6515-12-381-0798,SODIUM CHLORIDE 0.9%,20,EA,WHSE,1.36,27.2,C,
6515-20-011-1758,SCALPEL DISP 11 SAFETY SHIELD,50,EA,WHSE,2.89,144.5,C,
6515-20-011-4681,SET AIRWAY SURGICAL STER,4,EA,WHSE,50.83,203.32,C,
6515-20-A0V-9736,MICROBORE EXTENSION SET,1,EA,WHSE,2.04,2.04,C,
6515-20-A0V-9737,"CATHETER EXTENSION SET, 8IN",1,EA,WHSE,2.39,2.39,C,
6515-21-113-1564,SPHYGMOMANO POCKET TYPE,3,EA,WHSE,23.28,69.84,D,
6515-21-847-0797,"TROCAR CATHETER 28FR/16""",4,EA,WHSE,22.24,88.96,C,
6515-21-847-0798,"TROCAR CATHETER 20FR/16""",4,EA,WHSE,26.16,104.64,C,
6515-21-870-8181,SYR HYPO PLS/DBL-SC 1CC,25,EA,WHSE,0.33,8.25,C,
6515-21-877-1517,TUBING ASSY OXYGEN 7FT,50,EA,WHSE,0.85,42.5,C,
6515-21-878-1122,AIRWAY PHARYNG SZ4/90MM,10,EA,WHSE,3.12,31.2,C,
6515-21-878-1123,AIRWAY PHARYNGEAL SZ 6,2,EA,WHSE,4.04,8.08,C,
6515-21-884-3182,AIRWAY PHARYNG SZ5/100MM,2,EA,WHSE,2.35,4.7,C,
6515-21-895-1456,MASK ADULT MED W/TUBE,12,EA,WHSE,1.1,13.2,C,
6515-21-897-9449,HANDLE LARYNGOSCOPE,2,EA,WHSE,229.24,458.48,D,
6515-21-902-2389,STYLET CATHETER-TUBE 14FR ENDOTRACHEAL TUBE MALLEABLE ALUM W/PLASTIC SHEATH STERILE F/5-10MM LF,3,EA,WHSE,3.1,9.3,C,
6515-21-911-2480,"NOZZLE, FOR ENDOTRACHEAL XYLOCAINE 6505-20-002-2287",1,PG,WHSE,102.77,102.77,C,
6515-21-911-2645,INHALER ASST DEVICE ADLT,4,EA,WHSE,17.85,71.4,C,
6515-21-913-9362,TIP SUCTION W/O VENT,2,EA,WHSE,1.32,2.64,C,
6515-22-121-0337,RESUSCITATOR (AMBU),2,EA,WHSE,694.33,1388.66,C,
6515-22-627-0841,"BLADE, LARYNGOSCOPE, CHANNELED, SIZE 3 USED WITH 6515-CF-002-8652",1,EA,WHSE,53.33,53.33,C,
6515-99-361-3111,"AIRWAY, SUPRAGLOTTIC, SIZE 2.0, SMALL PAEDIATRIC, 10-25KG",1,EA,WHSE,16.45,16.45,C,
6515-99-371-2040,"AIRWAY, SUPRAGLOTTIC, SIZE 1.5, INFANT 5 - 12KG",1,EA,WHSE,16.44,16.44,C,
6515-99-391-2691,"AIRWAY, SUPRAGLOTTIC, SIZE 2.5, LARGE PAEDIATRIC 25 - 35KG",1,EA,WHSE,16.8,16.8,C,
6515-CF-001-1378,"TUBE KIT, STOMACH, SURGICAL. 16 FRENCH",3,EA,WHSE,1.09,3.27,C,
6515-CF-001-2452,CATHETER SUCTION 8FR,2,EA,WHSE,0.45,0.9,C,
6515-CF-001-4008,MASK OXYGEN (ADULT),37,EA,WHSE,1.62,59.94,C,
6515-CF-001-5108,CATHETER 5FR (INFANT),2,EA,WHSE,0.99,1.98,C,
6515-CF-001-5205,"ADAPTER -PRN 3/4""SHORT",0.6,BX,WHSE,37.06,22.24,C,
6515-CF-001-6515,VALVE ONE-WAY RESUS,20,EA,WHSE,2.44,48.8,D,
6515-CF-001-7449,TAPE COLOUR-CODED PEDIAT,5,EA,WHSE,3.8,19,D,
6515-CF-001-8628,DEPRESSOR TONGUE IND WRP,10,EA,WHSE,0.04,0.4,C,
6515-CF-001-9068,CANISTER REUSABLE LSU,5,EA,WHSE,162,810,C,
6515-CF-001-9324,IV LINE SET,1,EA,WHSE,8.45,8.45,C,
6515-CF-001-9815,"PELVIC BINDER, TRAUMA PELVIC ORTHOTIC DEVICE, BLACK",2,EA,WHSE,168,336,C,
6515-CF-001-9930,UNIT DRAINAGE PLEURAL CA,2,EA,WHSE,79.34,158.68,D,
6515-CF-002-0026,"ELECTRODES DEFIBRILLATOR AED (SET OF 2) ""STAT PADZ 11"" U/W DEFIBRILLATOR AED 6515-01-540-3238",8,SE,WHSE,94.32,754.56,C,
6515-CF-002-0102,AIRWAY NASAL 26FR,2,BX,WHSE,35.25,70.5,C,
6515-CF-002-0105,"AIRWAY NASAL 30FR, ROBERTAZZI MODEL",1,EA,WHSE,6.25,6.25,C,
6515-CF-002-0107,AIRWAY NASAL 34FR,1,EA,WHSE,3.05,3.05,C,
6515-CF-002-0282,FILTER AEROSOL FOR LSU,5,EA,WHSE,34.91,174.55,C,
6515-CF-002-0594,"LARYNGOSCOPE, BLADE, MILLER, SIZE 4, FIBEROPTIC, REUSABLE, OPEN SYSTEM *TRAINING PURPOSES ONLY*",2,EA,WHSE,273.06,546.12,C,
6515-CF-002-0605,"LARYNGOSCOPE, BLADE, MILLER, SIZE 3, FIBEROPTIC, REUSABLE, OPEN SYSTEM *TRAINING PURPOSES ONLY*",2,EA,WHSE,143,286,C,
6515-CF-002-0608,"LARYNGOSCOPE, BLADE, MACINTOSH, SIZE 2, FIBEROPTIC, REUSABLE, OPEN SYSTEM *TRAINING PURPOSES ONLY*",2,EA,WHSE,143,286,C,
6515-CF-002-0609,"LARYNGOSCOPE, BLADE, MACINTOSH, SIZE 3, FIBEROPTIC, REUSABLE, OPEN SYSTEM *TRAINING PURPOSES ONLY*",2,EA,WHSE,143,286,C,
6515-CF-002-0610,"LARYNGOSCOPE, BLADE, MACINTOSH, SIZE 4, FIBEROPTIC, REUSABLE, OPEN SYSTEM *TRAINING PURPOSES ONLY*",2,EA,WHSE,143,286,C,
6515-CF-002-0614,HANDLE LARYNGOSCOPE F/O,2,EA,WHSE,115.81,231.62,D,
6515-CF-002-0794,CATHETER IV TFL ORG 14G,5,EA,WHSE,7.33,36.65,C,
6515-CF-002-0856,SET EXTEN IV .4ML 15.2CM,40,EA,WHSE,6.09,243.6,C,
6515-CF-002-1013,CATHETER SUCTION 12FR,5,EA,WHSE,6.44,32.2,C,
6515-CF-002-5080,TRAY INSTRMNT MINOR LAC,9,EA,WHSE,7.58,68.22,D,
6515-CF-002-5094,INTRDCR TRACH DISP 15FR,4,EA,WHSE,13.6,54.4,C,
6515-CF-002-6093,LANCET MED BLD 21G 1.8MM,200,EA,WHSE,0.24,48,C,
6515-CF-002-6329,EXTENSION SET LIFE SHLD,10,CA,WHSE,3.31,33.1,C,
6515-CF-002-6346,INTRODCR TRACH/DUAL LMN,2,EA,WHSE,36,72,C,
6515-CF-002-7539,SUCTION DVC TACT AIRWAY,5,EA,WHSE,59.28,296.4,C,
6515-CF-002-7569,CANNULA NASAL 7FT O2,50,EA,WHSE,0.7,35,C,
6515-CF-002-7804,RESUSCITATOR BVM DIS RED,2,EA,WHSE,21.48,42.96,C,
6515-CF-002-8154,"BAG MED BVS COYOTE BROWN W/ ""NICE"" FRAME",1,EA,WHSE,1599.05,1599.05,D,
6515-CF-002-8173,TRAY MINOR PROCED DISP,10,KT,WHSE,20.84,208.4,D,
6515-CF-002-8318,INFUSOR PRESSURE 1000ML,2,EA,WHSE,22.85,45.7,C,
6515-CF-002-8362,"DEVICE, MUCOSAL ATOMIZATION, WITH LUER LOCK AND 3ML SYRINGE",10,EA,WHSE,7.15,71.5,C,
6515-CF-002-8554,SCALPEL DISP 10 SAFETY SHIELD,50,EA,WHSE,2.89,144.5,C,
6515-CF-002-8556,SCALPEL DISP 15 SAFETY SHIELD,50,EA,WHSE,2.89,144.5,C,
6515-CF-002-8683,NEEDLE HYP SAFETY 22G X 1.5IN,100,EA,WHSE,0.14,14,C,
6515-CF-002-8692,NEEDLE HYP SAFETY 18G X 1.5IN,100,EA,WHSE,0.2,20,C,
6515-CF-002-8693,NEEDLE HYP SAFETY 21G X 1.5IN,100,EA,WHSE,0.13,13,C,
6515-CF-002-8695,NEEDLE HYP SAFETY 22G X 1IN,200,EA,WHSE,0.21,42,C,
6515-CF-002-8699,NEEDLE HYP SAFETY 25G X 1.5IN,10,EA,WHSE,0.35,3.5,C,
6515-CF-002-8701,NEEDLE HYP SAFETY 25G X 0.63IN,500,EA,WHSE,0.22,110,C,
6515-CF-002-8731,"NEEDLE, BLUNT, WITH 5 MICRON FILTER, 18G X 1.5IN",100,EA,WHSE,0.24,24,C,
6515-CF-002-9076,"SET, SOLUTION, 10 DROPS/ML, 3 LEUR VALVES, MALE LUER LOCK, 105IN LONG",10,EA,WHSE,8.4,84,C,
6515-CF-002-9589,"SET, SECONDARY MEDICAL, NEEDLELESS, WITH HANGER AND MALE LUER LOCK ADAPTER, 37IN (94CM)",5,EA,WHSE,2.17,10.85,D,
6515-CF-005-0029,"MANUAL SUCTION UNIT, STARTER KIT",1,EA,WHSE,116.83,116.83,C,
6515-CF-005-0650,"OXIMETER, FINGER PULSE, EDAN",20,EA,WHSE,36,720,C,
6515-CF-005-0805,"RESUSCITATOR, BVM ADULT, SPUR II, WITH MEDIUM MASK, PEEP VALVE",12,EA,WHSE,0,0,C,
6515-CF-005-1470,"CPR MASK, POCKET VENTILLATOR, W/HEADSTRAP, ONE-WAY VALVE AND OXYGEN INLET",6,EA,WHSE,5.4,32.4,C,
6545-CF-002-0271,KIT 8 AIRWAYS (OPA'S),10,KT,WHSE,20.01,200.1,C,
6550-CF-002-7803,REAGENT MI TROPONIN I,1,BX,WHSE,683,683,C,
6550-CF-002-9329,"SOLUTION, LOW CONTROL (LEVEL 1), FOR GLUCOSE MONITOR 6630-CF-002-9326",1,EA,WHSE,15.85,15.85,C,
6550-CF-002-9330,"SOLUTION, NORMAL CONTROL (LEVEL 2), FOR GLUCOSE MONITOR 6630-CF-002-9326",1,EA,WHSE,15.85,15.85,C,
6550-CF-002-9331,"SOLUTION, HIGH CONTROL (LEVEL 3), FOR GLUCOSE MONITOR 6630-CF-002-9326",1,EA,WHSE,15.85,15.85,C,
6550-CF-002-9332,"TEST STRIPS,(50'S) FOR GLUCOSE MONITOR 6630-CF-005-0307",1,BT,WHSE,43.66,43.66,C,
6550-CF-005-0041,"CONTROL, QUALITY, LEVELS 1 & 2 FOR TROPONIN I",1,BX,WHSE,270,270,C,
6630-CF-005-0307,CONTOUR NEXT GEN GLUCOMETER BLOOD GLUCOSE MONITORING SYSTEM,2,EA,WHSE,26,52,C,
7510-CF-005-0045,"LEAFLET, SOP FOR LIFESIGN TROPONIN I",1,EA,WHSE,0.05,0.05,C,
7610-CF-003-0392,"SET, POSTER, ACLS, AHA 2020",1,SE,ExternalRqn,74.4,74.4,C,
7610-CF-003-0393,2020 HANDBOOK OF EMERGENCY CARDIOVASCULAR CARE FOR HEALTHCARE PROVIDERS,1,EA,ExternalRqn,39.5,39.5,C,
7690-21-883-2495,LABEL PAPER PRESCRIPTION,1,RO,WHSE,0,0,C,
8145-01-682-0894,"SHIPPING AND STORAGE CONTAINER,MISCELLANEOUS EQUIPMENT",5,EA,WHSE,0.81,4.05,C,
